Row Labels,aAnimals,aCommunities,aPlants,allExtant,hAnimals,hCommunities,hPlants,allHistoric,Animals,Plants,Communities,allRecords
ADAIRVILLE,4,,,4,1,,,1,5,0,0,5
ADAMS,2,,,2,2,,,2,4,0,0,4
ADDYSTON,,,,,2,,,2,2,0,0,2
ADOLPHUS,2,,,2,2,,,2,4,0,0,4
ALBANY,1,1,5,7,1,,,1,2,1,5,8
ALCORN,39,2,10,51,1,,,1,40,2,10,52
ALEXANDRIA,6,,,6,3,,,3,9,0,0,9
ALLEGRE,2,1,9,12,2,,,2,4,1,9,14
ALLEN SPRINGS,8,,1,9,4,,,4,12,0,1,13
ALLENSVILLE,17,4,6,27,2,1,,3,19,5,6,30
ALTON,1,1,,2,1,,,1,2,1,0,3
ALTON STATION,1,,3,4,,,,,1,0,3,4
AMANDAVILLE,7,,,7,2,,,2,9,0,0,9
ANCHORAGE,10,,3,13,10,,1,11,20,0,4,24
ANO,65,10,69,144,8,1,7,16,73,11,76,160
APPALACHIA,11,1,24,36,16,1,13,30,27,2,37,66
ARGILLITE,7,,1,8,2,,,2,9,0,1,10
ARLINGTON,39,1,3,43,19,1,2,22,58,2,5,65
ARTEMUS,11,,2,13,1,,1,2,12,0,3,15
ASHBROOK,3,,,3,,,,,3,0,0,3
ASHLAND,6,,2,8,,,,,6,0,2,8
AUBURN,1,1,14,16,,,1,1,1,1,15,17
AULT,8,1,7,16,1,,,1,9,1,7,17
AURORA,1,,,1,,,1,1,1,0,1,2
AUSTERLITZ,1,,,1,,,,,1,0,0,1
AUSTIN,1,,,1,1,,,1,2,0,0,2
BALKAN,18,,6,24,4,,,4,22,0,6,28
BALLARDSVILLE,2,,,2,1,,,1,3,0,0,3
BANDANA,21,,,21,7,,,7,28,0,0,28
BANGOR,25,,22,47,4,,1,5,29,0,23,52
BARBOURVILLE,4,,,4,4,,,4,8,0,0,8
BARCREEK,4,,8,12,3,,,3,7,0,8,15
BARDSTOWN,3,1,3,7,6,,2,8,9,1,5,15
BARLOW,53,1,9,63,9,,1,10,62,1,10,73
BARTHELL,87,1,109,197,3,,11,14,90,1,120,211
BARTHELL SW,3,2,9,14,1,,1,2,4,2,10,16
BEATTYVILLE,7,,,7,1,,,1,8,0,0,8
BEDFORD,2,,1,3,1,,,1,3,0,1,4
BEE SPRING,,1,1,2,2,,,2,2,1,1,4
BEECH GROVE,1,1,3,5,,,,,1,1,3,5
BELFRY,1,,1,2,,,,,1,0,1,2
BELL FARM,34,,14,48,28,,2,30,62,0,16,78
BENHAM,38,7,73,118,24,,11,35,62,7,84,153
BEREA,1,,3,4,,,,,1,0,3,4
BERLIN,4,,,4,,,,,4,0,0,4
BERNSTADT,13,3,3,19,9,,,9,22,3,3,28
BERRY,6,1,,7,10,,,10,16,1,0,17
BETHLEHEM,9,,1,10,,,,,9,0,1,10
BEVERLY,15,,1,16,1,,,1,16,0,1,17
BIG CLIFTY,6,5,1,12,2,,2,4,8,5,3,16
BIG CREEK,19,,8,27,5,,,5,24,0,8,32
BIG SPRING,16,6,3,25,8,,,8,24,6,3,33
BIGHILL,7,1,5,13,,,,,7,1,5,13
BILLOWS,30,4,10,44,6,,,6,36,4,10,50
BIRMINGHAM POINT,13,,31,44,4,,3,7,17,0,34,51
BLACKEY,3,,,3,1,,,1,4,0,0,4
BLACKFORD,1,,,1,,,,,1,0,0,1
BLACKS FERRY,,,6,6,37,,,37,37,0,6,43
BLACKWATER,5,1,9,15,,,1,1,5,1,10,16
BLAINE,3,,,3,1,,,1,4,0,0,4
BLANDVILLE,23,,,23,4,,,4,27,0,0,27
BLEDSOE,19,8,19,46,3,,,3,22,8,19,49
BOBTOWN,9,1,13,23,,,1,1,9,1,14,24
BOLTSFORK,1,,1,2,2,,,2,3,0,1,4
BONDURANT,78,5,41,124,19,,6,25,97,5,47,149
BOONEVILLE,23,,7,30,5,,,5,28,0,7,35
BOWLING GREEN NORTH,14,1,6,21,24,,1,25,38,1,7,46
BOWLING GREEN SOUTH,4,,4,8,33,,2,35,37,0,6,43
BRADFORDSVILLE,1,3,,4,5,,1,6,6,3,1,10
BRADFORDSVILLE NE,,2,,2,,,,,0,2,0,2
BRECKINRIDGE,2,,,2,2,,,2,4,0,0,4
BREEDING,1,1,,2,1,,,1,2,1,0,3
BRIENSBURG,18,1,3,22,3,1,1,5,21,2,4,27
BRISTOW,3,1,10,14,1,1,,2,4,2,10,16
BROAD BOTTOM,,,1,1,,,,,0,0,1,1
BRODHEAD,3,,3,6,,,1,1,3,0,4,7
BROOKS,1,5,14,20,1,,1,2,2,5,15,22
BROWNFIELD,2,,,2,,,,,2,0,0,2
BROWNSVILLE,3,5,7,15,,,,,3,5,7,15
BRUIN,7,,4,11,5,,,5,12,0,4,16
BRUSH GROVE,2,,,2,1,,1,2,3,0,1,4
BRYANTSVILLE,,,2,2,2,,,2,2,0,2,4
BUCHANAN,1,,,1,,,,,1,0,0,1
BUCKEYE,2,,1,3,,,,,2,0,1,3
BUCKHORN,1,1,1,3,2,,,2,3,1,1,5
BUENA VISTA,2,,,2,,,,,2,0,0,2
BURKESVILLE,1,,,1,25,,,25,26,0,0,26
BURLINGTON,6,2,,8,10,,,10,16,2,0,18
BURNA,20,1,5,26,4,,,4,24,1,5,30
BURNAUGH,,,,,1,,,1,1,0,0,1
BURNSIDE,8,1,41,50,11,,2,13,19,1,43,63
BURTONVILLE,4,1,3,8,,,,,4,1,3,8
BUTLER,14,,,14,8,,,8,22,0,0,22
CABORN,1,,,1,,,,,1,0,0,1
CADIZ,4,,,4,4,,,4,8,0,0,8
CAIRO,18,,,18,9,,1,10,27,0,1,28
CALEDONIA,24,1,,25,3,,,3,27,1,0,28
CALHOUN,2,2,4,8,2,1,,3,4,3,4,11
CALVERT CITY,43,,5,48,13,,3,16,56,0,8,64
CAMPBELLSBURG,,,,,1,,,1,1,0,0,1
CAMPBELLSVILLE,4,,2,6,1,,,1,5,0,2,7
CAMPTON,4,,,4,,,,,4,0,0,4
CANE VALLEY,13,,4,17,10,,2,12,23,0,6,29
CANEYVILLE,2,,,2,,,,,2,0,0,2
CANMER,70,2,5,77,22,,2,24,92,2,7,101
CANNEL CITY,2,,,2,,,,,2,0,0,2
CANNELTON,3,1,1,5,4,,,4,7,1,1,9
CANOE,4,,,4,,,,,4,0,0,4
CANTON,8,,2,10,6,,,6,14,0,2,16
CARDWELL,2,,,2,1,,,1,3,0,0,3
CARLISLE,,,2,2,,,,,0,0,2,2
CARRIE,8,,,8,,,,,8,0,0,8
CARROLLTON,1,1,,2,5,,,5,6,1,0,7
CATLETTSBURG,,,1,1,,,,,0,0,1,1
CAVE-IN-ROCK,,,1,1,,,,,0,0,1,1
CAYCE,24,1,2,27,6,,1,7,30,1,3,34
CECILIA,1,,,1,1,,,1,2,0,0,2
CENTER,14,2,6,22,3,,1,4,17,2,7,26
CENTERVILLE,3,,1,4,2,,,2,5,0,1,6
CENTRAL CITY EAST,10,,1,11,1,,1,2,11,0,2,13
CENTRAL CITY WEST,14,1,2,17,3,,2,5,17,1,4,22
CHAPLIN,2,,,2,4,,1,5,6,0,1,7
CHARLESTOWN,1,,1,2,2,,,2,3,0,1,4
CHARTERS,,,,,1,,,1,1,0,0,1
CHURCH HILL,4,,,4,,,,,4,0,0,4
CLARKSON,2,2,,4,,,,,2,2,0,4
CLAY CITY,9,4,28,41,2,,4,6,11,4,32,47
CLAYSVILLE,9,,3,12,,,,,9,0,3,12
CLEMENTSVILLE,,,1,1,2,,,2,2,0,1,3
CLINTON,14,,1,15,6,,,6,20,0,1,21
CLINTONVILLE,1,,,1,,,,,1,0,0,1
CLOVERPORT,,1,2,3,,,,,0,1,2,3
COBB,10,,,10,2,,,2,12,0,0,12
COBHILL,87,1,3,91,5,1,1,7,92,2,4,98
COILTOWN,17,,1,18,3,,1,4,20,0,2,22
COLESBURG,3,4,18,25,,,,,3,4,18,25
COLETOWN,2,,5,7,,,,,2,0,5,7
COLFAX,18,,3,21,4,,,4,22,0,3,25
COLUMBIA,13,,1,14,8,,,8,21,0,1,22
CONCORD,,,1,1,3,,,3,3,0,1,4
CONSTANTINE,8,3,3,14,4,,,4,12,3,3,18
COOPERSVILLE,14,,4,18,48,,,48,62,0,4,66
CORBIN,,2,9,11,1,,4,5,1,2,13,16
CORNISHVILLE,7,,,7,,,,,7,0,0,7
COVINGTON,3,,,3,9,,1,10,12,0,1,13
COWAN,10,,14,24,,,1,1,10,0,15,25
COWCREEK,4,,1,5,,,,,4,0,1,5
CRAB ORCHARD,8,1,4,13,2,,,2,10,1,4,15
CRANSTON,14,1,3,18,,,,,14,1,3,18
CRAVENS,3,,1,4,6,,,6,9,0,1,10
CREEKVILLE,26,,11,37,,,,,26,0,11,37
CREELSBORO,1,,,1,40,,,40,41,0,0,41
CRESTWOOD,4,,,4,4,,2,6,8,0,2,10
CRIDER,5,,,5,,,,,5,0,0,5
CROFTON,8,1,,9,,,,,8,1,0,9
CROMWELL,5,3,2,10,,,,,5,3,2,10
CRUTCHFIELD,10,,,10,4,,,4,14,0,0,14
CUB RUN,8,3,4,15,6,,1,7,14,3,5,22
CUBA,4,,,4,,,,,4,0,0,4
CUMBERLAND CITY,4,,2,6,52,,1,53,56,0,3,59
CUMBERLAND FALLS,57,4,56,117,26,,7,33,83,4,63,150
CUSTER,3,,,3,1,,,1,4,0,0,4
CUTSHIN,11,,,11,2,,,2,13,0,0,13
CYNTHIANA,1,,,1,6,,,6,7,0,0,7
DALTON,12,2,2,16,1,,,1,13,2,2,17
DANVILLE,3,,1,4,1,,1,2,4,0,2,6
DAVID,7,,,7,,,,,7,0,0,7
DAWSON SPRINGS,18,1,2,21,,,1,1,18,1,3,22
DAWSON SPRINGS SE,,,1,1,,,,,0,0,1,1
DAWSON SPRINGS SW,8,2,3,13,1,,,1,9,2,3,14
DE MOSSVILLE,17,,1,18,4,,,4,21,0,1,22
DEKOVEN,6,2,4,12,,,1,1,6,2,5,13
DELAPLAIN,3,,1,4,,,,,3,0,1,4
DELAWARE,1,,1,2,,,,,1,0,1,2
DELBARTON,,1,,1,1,,,1,1,1,0,2
DELMER,2,1,4,7,1,,,1,3,1,4,8
DENNIS,3,7,31,41,2,,4,6,5,7,35,47
DERBY,3,,,3,,,,,3,0,0,3
DEXTER,1,,1,2,,,2,2,1,0,3,4
DINGUS,2,,,2,,,,,2,0,0,2
DIXON,1,,,1,,,,,1,0,0,1
DORTON,2,,,2,,,,,2,0,0,2
DOT,49,,5,54,12,,1,13,61,0,6,67
DRAKE,8,,,8,7,,,7,15,0,0,15
DRAKESBORO,14,,,14,,,,,14,0,0,14
DUBLIN,38,2,3,43,4,,,4,42,2,3,47
DUBRE,5,1,,6,9,,,9,14,1,0,15
DUNDEE,1,,,1,,,,,1,0,0,1
DUNMOR,10,2,1,13,2,,,2,12,2,1,15
DUNNVILLE,3,1,8,12,4,,,4,7,1,8,16
DYCUSBURG,15,,2,17,5,,,5,20,0,2,22
DYKES,37,,11,48,38,1,,39,75,1,11,87
EAGAN,13,1,3,17,4,,,4,17,1,3,21
EAST FORK,5,,3,8,2,,,2,7,0,3,10
EDDYVILLE,8,,8,16,6,,,6,14,0,8,22
EDMONTON,1,,1,2,,,,,1,0,1,2
ELI,,1,2,3,1,,,1,1,1,2,4
ELIZABETHTOWN,2,4,6,12,,,1,1,2,4,7,13
ELKHORN CITY,5,,,5,2,,4,6,7,0,4,11
ELKTON,3,1,2,6,,,1,1,3,1,3,7
ELLISBURG,,2,,2,,,,,0,2,0,2
ELVA,23,1,4,28,,1,2,3,23,2,6,31
EMINENCE,4,,,4,2,,,2,6,0,0,6
EQUALITY,5,,1,6,,,,,5,0,1,6
EUBANK,1,,,1,,,,,1,0,0,1
EVANSVILLE SOUTH,6,,1,7,5,,,5,11,0,1,12
EVARTS,2,,2,4,1,,,1,3,0,2,5
EWING,60,4,34,98,6,,7,13,66,4,41,111
EXIE,16,2,1,19,4,,,4,20,2,1,23
EZEL,21,,7,28,,,,,21,0,7,28
FAIRDEALING,8,,15,23,2,,1,3,10,0,16,26
FAIRFIELD,1,,,1,,,,,1,0,0,1
FALLS OF ROUGH,3,2,,5,2,,,2,5,2,0,7
FALLSBURG,,,,,2,,,2,2,0,0,2
FALMOUTH,15,,1,16,17,,,17,32,0,1,33
FANCY FARM,7,,1,8,1,,,1,8,0,1,9
FARMERS,16,2,15,33,6,,2,8,22,2,17,41
FARMINGTON,,,,,,,1,1,0,0,1,1
FAUBUSH,,2,2,4,1,,,1,1,2,2,5
FELICITY,,,,,1,,,1,1,0,0,1
FENTON,11,,34,45,13,,3,16,24,0,37,61
FISHERVILLE,2,,,2,4,,,4,6,0,0,6
FLAHERTY,10,,,10,2,,,2,12,0,0,12
FLAT GAP,8,1,9,18,2,,2,4,10,1,11,22
FLEMINGSBURG,1,,,1,,,,,1,0,0,1
FLENER,1,,,1,,,,,1,0,0,1
FLORENCE,,,1,1,,,,,0,0,1,1
FORD,4,1,25,30,1,,5,6,5,1,30,36
FORDSVILLE,,,1,1,,,,,0,0,1,1
FORK RIDGE,1,,1,2,,,1,1,1,0,2,3
FORT KNOX,6,,4,10,,,,,6,0,4,10
FOUNT,9,,,9,,,,,9,0,0,9
FOUNTAIN RUN,9,,,9,4,,,4,13,0,0,13
FRAKES,17,1,5,23,2,,,2,19,1,5,25
FRANKFORT EAST,6,,26,32,3,,2,5,9,0,28,37
FRANKFORT WEST,2,,33,35,3,,3,6,5,0,36,41
FRANKLIN,4,,,4,3,,,3,7,0,0,7
FRANKLINTON,,,1,1,,,1,1,0,0,2,2
FRAZER,1,1,9,11,6,,1,7,7,1,10,18
FREDONIA,7,,,7,,,,,7,0,0,7
FRENCHBURG,32,1,6,39,,,,,32,1,6,39
FRIENDSHIP,3,,1,4,7,,2,9,10,0,3,13
FROGUE,,,1,1,20,,,20,20,0,1,21
GAMALIEL,1,,,1,10,,,10,11,0,0,11
GARFIELD,25,4,1,30,1,,,1,26,4,1,31
GARRISON,24,,11,35,,,,,24,0,11,35
GEORGETOWN,1,,,1,1,,,1,2,0,0,2
GLASGOW NORTH,3,,2,5,2,,1,3,5,0,3,8
GLASGOW SOUTH,2,1,1,4,1,,,1,3,1,1,5
GLEN DEAN,1,,1,2,1,,,1,2,0,1,3
GLENCOE,4,,2,6,7,,,7,11,0,2,13
GLENSBORO,1,,,1,,,,,1,0,0,1
GLENVILLE,2,,,2,1,1,1,3,3,1,1,5
GOFORTH,3,,,3,5,,,5,8,0,0,8
GOLCONDA,12,2,10,24,4,,,4,16,2,10,28
GRACEY,4,,1,5,,,,,4,0,1,5
GRADYVILLE,6,,1,7,,,,,6,0,1,7
GRAHAM,11,1,,12,3,,,3,14,1,0,15
GRAHN,19,2,27,48,10,,1,11,29,2,28,59
GRAND RIVERS,15,,2,17,12,,1,13,27,0,3,30
GRATZ,9,,5,14,2,,,2,11,0,5,16
GRAVEL SWITCH,,1,,1,1,,,1,1,1,0,2
GRAYSON,7,,2,9,6,,,6,13,0,2,15
GREENSBURG,26,,1,27,6,,,6,32,0,1,33
GREENUP,4,,,4,4,,,4,8,0,0,8
GRESHAM,35,,1,36,6,,,6,41,0,1,42
GROVE CENTER,8,,,8,2,,,2,10,0,0,10
GUAGE,8,,,8,,,,,8,0,0,8
GUSTON,4,1,,5,3,,,3,7,1,0,8
GUTHRIE,,,1,1,1,,,1,1,0,1,2
HADDIX,7,,1,8,1,,,1,8,0,1,9
HADLEY,63,,,63,24,,2,26,87,0,2,89
HAIL,47,9,32,88,5,1,,6,52,10,32,94
HALDEMAN,3,,1,4,1,,,1,4,0,1,5
HALEYS MILL,14,,,14,1,,,1,15,0,0,15
HALLS GAP,,1,,1,,,,,0,1,0,1
HAMLIN,12,,5,17,10,,1,11,22,0,6,28
HAMMONVILLE,2,,5,7,3,,,3,5,0,5,10
HANDSHOE,6,,,6,,,,,6,0,0,6
HANSON,,,1,1,,,,,0,0,1,1
HARDIN,4,,,4,3,,,3,7,0,0,7
HARDINSBURG,10,,,10,,,,,10,0,0,10
HARLAN,5,4,5,14,1,,,1,6,4,5,15
HAROLD,2,,,2,2,,,2,4,0,0,4
HARRODSBURG,2,,9,11,2,,1,3,4,0,10,14
HARTFORD,4,1,1,6,3,1,,4,7,2,1,10
HAZARD NORTH,10,,3,13,1,,,1,11,0,3,14
HAZARD SOUTH,7,,,7,,,,,7,0,0,7
HAZEL GREEN,4,,,4,1,,,1,5,0,0,5
HEAD OF GRASSY,9,,2,11,1,,,1,10,0,2,12
HEATH,16,1,8,25,4,,,4,20,1,8,29
HEDGES,6,1,3,10,,,,,6,1,3,10
HEIDELBERG,11,3,4,18,1,,,1,12,3,4,19
HEIDRICK,5,,1,6,1,,,1,6,0,1,7
HELLIER,7,,,7,3,,,3,10,0,0,10
HELTON,20,3,5,28,1,,,1,21,3,5,29
HENDERSON,,,,,2,,,2,2,0,0,2
HERNDON,9,1,8,18,,,,,9,1,8,18
HIBERNIA,1,3,1,5,,,,,1,3,1,5
HICKMAN,18,1,6,25,5,,,5,23,1,6,30
HICKORY,,,7,7,,,,,0,0,7,7
HICKORY FLAT,3,,1,4,2,,,2,5,0,1,6
HICO,11,,7,18,5,,2,7,16,0,9,25
HIGGINSPORT,,,,,2,,,2,2,0,0,2
HILLSBORO,10,,1,11,,,,,10,0,1,11
HIMA,9,,2,11,1,,,1,10,0,2,12
HINDMAN,9,,,9,1,,,1,10,0,0,10
HISEVILLE,,1,,1,2,,,2,2,1,0,3
HODGENVILLE,5,1,,6,5,,,5,10,1,0,11
HOLLAND,3,,1,4,3,,,3,6,0,1,7
HOLLYHILL,64,,16,80,3,1,1,5,67,1,17,85
HOMER,2,,,2,1,,,1,3,0,0,3
HONEY GROVE,,,1,1,1,,1,2,1,0,2,3
HOOVEN,,,,,2,,,2,2,0,0,2
HOPKINSVILLE,5,,1,6,1,,,1,6,0,1,7
HORSE CAVE,52,,8,60,15,,,15,67,0,8,75
HORTON,1,,,1,,,,,1,0,0,1
HOSKINSTON,9,1,3,13,,,,,9,1,3,13
HOWARDSTOWN,16,1,,17,3,,,3,19,1,0,20
HOWE VALLEY,15,2,4,21,4,,3,7,19,2,7,28
HUBBARD LAKE,16,,2,18,8,,,8,24,0,2,26
HUBBARD SPRINGS,1,,19,20,,,,,1,0,19,20
HUDGINS,48,2,3,53,7,,1,8,55,2,4,61
HUSTONVILLE,,,,,1,,,1,1,0,0,1
HYDEN EAST,14,,,14,,,,,14,0,0,14
HYDEN WEST,5,,1,6,1,,1,2,6,0,2,8
INDEPENDENCE,5,,1,6,4,,1,5,9,0,2,11
INEZ,2,,,2,,,,,2,0,0,2
IRONTON,5,,1,6,,,,,5,0,1,6
IRVINE,1,2,12,15,,1,,1,1,3,12,16
IRVINGTON,2,,,2,,,,,2,0,0,2
ISONVILLE,5,,1,6,,,,,5,0,1,6
IVYTON,,,1,1,1,,,1,1,0,1,2
JABEZ,,,,,14,,,14,14,0,0,14
JACKSON,3,,,3,1,,,1,4,0,0,4
JAMBOREE,20,,,20,,,,,20,0,0,20
JAMESTOWN,1,,5,6,25,,3,28,26,0,8,34
JEFFERSONTOWN,,,3,3,6,,,6,6,0,3,9
JEFFERSONVILLE,13,,4,17,11,,3,14,24,0,7,31
JELLICO EAST,9,,5,14,,,,,9,0,5,14
JELLICO WEST,5,1,,6,1,,,1,6,1,0,7
JENKINS EAST,1,,,1,1,,,1,2,0,0,2
JENKINS WEST,8,,1,9,1,,,1,9,0,1,10
JOHNETTA,55,2,4,61,4,,,4,59,2,4,65
JOHNSON HOLLOW,15,1,,16,,,1,1,15,1,1,17
JOPPA,59,2,6,67,10,,,10,69,2,6,77
JUNCTION CITY,2,,,2,1,,1,2,3,0,1,4
KAYJAY,21,,2,23,6,,2,8,27,0,4,31
KEENE,4,,2,6,2,,1,3,6,0,3,9
KELAT,6,,1,7,8,,,8,14,0,1,15
KELLY,,,,,1,,1,2,1,0,1,2
KEOKEE,1,,4,5,,,1,1,1,0,5,6
KERMIT,4,,,4,1,,,1,5,0,0,5
KETCHEN,19,1,1,21,,,,,19,1,1,21
KINGSWOOD,2,,,2,1,,,1,3,0,0,3
KIRKMANSVILLE,,,2,2,1,,,1,1,0,2,3
KIRKSEY,1,,5,6,2,,3,5,3,0,8,11
KIRKSVILLE,2,,1,3,,,,,2,0,1,3
KITE,10,,,10,,,,,10,0,0,10
KNIFLEY,4,,,4,2,,1,3,6,0,1,7
KOSMOSDALE,5,,1,6,1,,,1,6,0,1,7
KRYPTON,22,,,22,,,,,22,0,0,22
LA CENTER,1,,1,2,2,,,2,3,0,1,4
LA GRANGE,3,,1,4,9,,,9,12,0,1,13
LACONIA,1,,1,2,2,,,2,3,0,1,4
