Row Labels,aAnimals,aCommunities,aPlants,allExtant,hAnimals,hCommunities,hPlants,allHistoric,Animals,Plants,Communities,allRecords
LAMASCO,4,,1,5,6,,,6,10,0,1,11
LANCASTER,6,2,13,21,1,,,1,7,2,13,22
LANCER,2,,3,5,2,,,2,4,0,3,7
LANDSAW,2,,,2,,,,,2,0,0,2
LANESVILLE,3,,,3,,,,,3,0,0,3
LAUREL,4,,,4,3,,1,4,7,0,1,8
LAWRENCEBURG,7,,4,11,3,,3,6,10,0,7,17
LAWRENCEVILLE,1,,,1,,,,,1,0,0,1
LEATHERWOOD,4,,,4,,,,,4,0,0,4
LEAVENWORTH,2,,,2,2,,,2,4,0,0,4
LEBANON EAST,2,,,2,1,,1,2,3,0,1,4
LEBANON JUNCTION,3,2,,5,,,,,3,2,0,5
LEBANON WEST,3,,,3,1,,,1,4,0,0,4
LEE CITY,8,,,8,,,,,8,0,0,8
LEESBURG,8,,,8,,,2,2,8,0,2,10
LEIGHTON,31,3,6,40,3,,,3,34,3,6,43
LEITCHFIELD,1,,6,7,,,1,1,1,0,7,8
LENOX,4,,2,6,,,,,4,0,2,6
LEVEE,,,4,4,1,1,1,3,1,1,5,7
LEWISBURG,6,1,2,9,2,,1,3,8,1,3,12
LEWISPORT,4,,,4,1,,,1,5,0,0,5
LEXINGTON EAST,1,,1,2,3,,3,6,4,0,4,8
LEXINGTON WEST,8,,1,9,5,,2,7,13,0,3,16
LIBERTY,1,,2,3,1,,,1,2,0,2,4
LICK CREEK,3,,1,4,,,,,3,0,1,4
LILY,2,1,7,10,2,,,2,4,1,7,12
LINTON,9,,2,11,7,,2,9,16,0,4,20
LITTLE CYPRESS,47,,,47,8,,5,13,55,0,5,60
LITTLE HICKMAN,8,2,8,18,1,,1,2,9,2,9,20
LIVERMORE,5,2,,7,1,,1,2,6,2,1,9
LIVINGSTON,103,4,6,113,29,,1,30,132,4,7,143
LOAD,5,,1,6,5,,,5,10,0,1,11
LODIBURG,2,,1,3,,,,,2,0,1,3
LOLA,4,,2,6,2,,,2,6,0,2,8
LONDON SW,18,5,16,39,8,,3,11,26,5,19,50
LORETTO,1,2,15,18,,,,,1,2,15,18
LOUELLEN,38,3,22,63,5,,,5,43,3,22,68
LOUISA,1,,1,2,,,,,1,0,1,2
LOUISVILLE EAST,19,,,19,11,,4,15,30,0,4,34
LOUISVILLE WEST,12,,,12,2,,1,3,14,0,1,15
LOVELACEVILLE,13,,,13,2,,,2,15,0,0,15
LUCAS,3,,1,4,5,,,5,8,0,1,9
LYNN GROVE,87,2,4,93,6,,,6,93,2,4,99
LYNNVILLE,59,,3,62,7,,,7,66,0,3,69
MACEO,6,,,6,3,,,3,9,0,0,9
MACKVILLE,2,,,2,,,,,2,0,0,2
MADISON EAST,3,,1,4,1,,,1,4,0,1,5
MADISON WEST,,,,,1,,,1,1,0,0,1
MADISONVILLE EAST,7,,,7,4,,,4,11,0,0,11
MADISONVILLE WEST,4,,,4,5,,,5,9,0,0,9
MADRID,4,,1,5,3,,,3,7,0,1,8
MAGNOLIA,2,,2,4,1,,1,2,3,0,3,6
MAJESTIC,13,,,13,,,,,13,0,0,13
MAMMOTH CAVE,250,24,41,315,61,,2,63,311,24,43,378
MANCHESTER,1,,1,2,,,,,1,0,1,2
MANCHESTER ISLANDS,7,3,26,36,8,,,8,15,3,26,44
MANNSVILLE,2,,,2,,,,,2,0,0,2
MARETBURG,3,,,3,1,,,1,4,0,0,4
MARION,5,1,1,7,1,,,1,6,1,1,8
MARTIN,12,,1,13,3,,,3,15,0,1,16
MASON,2,,,2,1,,,1,3,0,0,3
MATEWAN,2,1,,3,,,,,2,1,0,3
MATTINGLY,1,,1,2,,,,,1,0,1,2
MAUCKPORT,2,,,2,2,,,2,4,0,0,4
MAUD,2,,,2,1,,,1,3,0,0,3
MAULDEN,3,,,3,,,,,3,0,0,3
MAYFIELD,2,,2,4,,,,,2,0,2,4
MAYKING,7,,,7,,,,,7,0,0,7
MAYS LICK,1,,,1,1,,,1,2,0,0,2
MAYSVILLE EAST,,,,,11,,,11,11,0,0,11
MAYSVILLE WEST,4,,1,5,2,,,2,6,0,1,7
MAZIE,1,,,1,,,,,1,0,0,1
MCBRAYER,5,,,5,,,,,5,0,0,5
MCDANIELS,1,2,2,5,1,,,1,2,2,2,6
MCDOWELL,5,,,5,,,,,5,0,0,5
MCKEE,16,10,8,34,,,,,16,10,8,34
MEADOR,14,,1,15,6,,,6,20,0,1,21
MEANS,1,,7,8,1,,1,2,2,0,8,10
MELBER,6,,2,8,2,,,2,8,0,2,10
META,,,1,1,1,,2,3,1,0,3,4
METROPOLIS,15,,,15,2,,,2,17,0,0,17
MIDDLESBORO NORTH,23,,10,33,7,,3,10,30,0,13,43
MIDDLESBORO SOUTH,7,,7,14,2,,2,4,9,0,9,18
MIDWAY,4,,,4,2,,1,3,6,0,1,7
MILBURN,13,,1,14,3,,,3,16,0,1,17
MILL SPRINGS,2,2,2,6,29,,,29,31,2,2,35
MILLARD,4,,,4,2,,,2,6,0,0,6
MILLERSBURG,,,1,1,,,,,0,0,1,1
MILLERSTOWN,17,2,18,37,13,,,13,30,2,18,50
MILLPORT,8,1,2,11,1,,,1,9,1,2,12
MILO,,,1,1,,,,,0,0,1,1
MINTONVILLE,,1,,1,,,,,0,1,0,1
MISTLETOE,22,,1,23,,,,,22,0,1,23
MOBERLY,6,1,17,24,,,15,15,6,1,32,39
MONT,15,,47,62,8,,8,16,23,0,55,78
MONTEREY,2,,5,7,,,1,1,2,0,6,8
MONTICELLO,2,,,2,,,,,2,0,0,2
MONTPELIER,9,,,9,1,,,1,10,0,0,10
MOOREFIELD,10,,1,11,,,,,10,0,1,11
MOREHEAD,12,,10,22,5,,4,9,17,0,14,31
MORGANTOWN,7,2,,9,5,,,5,12,2,0,14
MOSCOW,9,,5,14,2,,1,3,11,0,6,17
MOUNT EDEN,,,,,4,,,4,4,0,0,4
MOUNT OLIVET,2,,,2,1,,,1,3,0,0,3
MOUNT STERLING,1,,1,2,,,,,1,0,1,2
MOUNT VERNON IN,2,,,2,,,,,2,0,0,2
MOUNT VERNON KY,2,,,2,6,,1,7,8,0,1,9
MOUNT WASHINGTON,2,2,39,43,,,4,4,2,2,43,47
MUNFORDVILLE,68,,4,72,16,,,16,84,0,4,88
MURRAY,,,1,1,3,,2,5,3,0,3,6
NEBO,2,,,2,,,,,2,0,0,2
NELSONVILLE,4,2,7,13,3,,1,4,7,2,8,17
NEVELSVILLE,20,1,41,62,21,,10,31,41,1,51,93
NEW ALBANY,8,,,8,22,,2,24,30,0,2,32
NEW AMSTERDAM,6,9,7,22,1,,,1,7,9,7,23
NEW CASTLE,1,,,1,,,,,1,0,0,1
NEW COLUMBUS,2,,,2,2,,,2,4,0,0,4
NEW CONCORD,56,4,25,85,3,,9,12,59,4,34,97
NEW HAVEN,6,4,6,16,2,,2,4,8,4,8,20
NEW LIBERTY,3,,,3,,,,,3,0,0,3
NEW MADRID,10,,2,12,,,,,10,0,2,12
NEW RICHMOND,7,,2,9,1,,1,2,8,0,3,11
NEWBURGH,8,2,,10,14,,2,16,22,2,2,26
NEWPORT,5,,4,9,3,,,3,8,0,4,12
NICHOLASVILLE,1,,1,2,3,,,3,4,0,1,5
NOBLE,32,,1,33,6,1,,7,38,1,1,40
NOLANSBURG,17,,20,37,3,,,3,20,0,20,40
NOLIN LAKE,2,2,9,13,1,,,1,3,2,9,14
NORTH MIDDLETOWN,1,,,1,,,,,1,0,0,1
NORTONVILLE,11,,,11,,,,,11,0,0,11
OAK GROVE,6,1,6,13,1,,,1,7,1,6,14
OAK LEVEL,1,,,1,,,,,1,0,0,1
OAKTON,17,3,8,28,10,,2,12,27,3,10,40
OFFUTT,6,,1,7,,,,,6,0,1,7
OGLE,1,,8,9,1,,2,3,2,0,10,12
OIL SPRINGS,1,,1,2,,,,,1,0,1,2
OLATON,,1,1,2,,,,,0,1,1,2
OLDTOWN,2,,,2,,,,,2,0,0,2
OLIVE HILL,4,,3,7,5,,2,7,9,0,5,14
OLMSTEAD,3,,,3,,,1,1,3,0,1,4
OLMSTED,48,1,10,59,10,,5,15,58,1,15,74
OLNEY,9,,1,10,,1,,1,9,1,1,11
OLYMPIA,4,,3,7,,,,,4,0,3,7
ONEIDA,12,,12,24,,,,,12,0,12,24
ONEIDA NORTH,34,1,35,70,,,5,5,34,1,40,75
ORANGEBURG,1,,2,3,2,,,2,3,0,2,5
OWEN,3,,1,4,15,,,15,18,0,1,19
OWENSBORO EAST,2,,,2,,,,,2,0,0,2
OWENSBORO WEST,4,,,4,2,,,2,6,0,0,6
OWENTON,1,,,1,2,,,2,3,0,0,3
OWINGSVILLE,2,,,2,1,,,1,3,0,0,3
PADUCAH EAST,29,,3,32,13,,6,19,42,0,9,51
PADUCAH WEST,13,,2,15,4,,3,7,17,0,5,22
PAINT LICK,1,,,1,,,,,1,0,0,1
PAINTSVILLE,2,,8,10,1,,1,2,3,0,9,12
PALL MALL,1,,,1,,,1,1,1,0,1,2
PALMER,2,,2,4,1,,,1,3,0,2,5
PANOLA,,,6,6,,1,,1,0,1,6,7
PANTHER,1,,,1,,,,,1,0,0,1
PARADISE,16,,,16,1,,,1,17,0,0,17
PARIS EAST,3,,,3,,,,,3,0,0,3
PARIS LANDING,1,,,1,1,,,1,2,0,0,2
PARIS WEST,2,,3,5,2,,,2,4,0,3,7
PARK,,,1,1,2,,,2,2,0,1,3
PARK CITY,25,3,9,37,14,,1,15,39,3,10,52
PARKSVILLE,,1,,1,,,,,0,1,0,1
PARMLEYSVILLE,9,,3,12,16,,,16,25,0,3,28
PARNELL,2,5,10,17,4,,1,5,6,5,11,22
PARROT,51,4,2,57,7,,,7,58,4,2,64
PATRIOT,,,1,1,,,,,0,0,1,1
PELLVILLE,2,,,2,,,,,2,0,0,2
PEMBROKE,1,,1,2,2,,,2,3,0,1,4
PERRYVILLE,2,1,1,4,6,,1,7,8,1,2,11
PETROLEUM,1,,,1,1,,,1,2,0,0,2
PHIL,3,1,1,5,5,,,5,8,1,1,10
PHILPOT,3,1,,4,,,1,1,3,1,1,5
PIKEVILLE,2,,1,3,1,,,1,3,0,1,4
PINEVILLE,33,1,3,37,5,,2,7,38,1,5,44
PIQUA,5,,6,11,,,,,5,0,6,11
PITTS POINT,10,,,10,1,,,1,11,0,0,11
PLEASANT GREEN HILL,1,,1,2,,,,,1,0,1,2
PLEASANT RIDGE,5,1,,6,,,1,1,5,1,1,7
PLUMMERS LANDING,1,,3,4,,,,,1,0,3,4
POLKVILLE,1,,2,3,9,,,9,10,0,2,12
POLSGROVE,1,,9,10,,,1,1,1,0,10,11
POMEROYTON,33,1,51,85,6,,16,22,39,1,67,107
POND RUN,2,,,2,,,,,2,0,0,2
PORTERSBURG,1,,1,2,,,,,1,0,1,2
PORTSMOUTH,10,,2,12,5,,2,7,15,0,4,19
POWERSBURG,15,,3,18,2,,1,3,17,0,4,21
PRESTON,6,,2,8,1,,,1,7,0,2,9
PRESTONSBURG,5,,3,8,1,,,1,6,0,3,9
PRICES MILL,5,,,5,,,,,5,0,0,5
PRICHARD,,,,,1,,,1,1,0,0,1
PRINCETON EAST,6,3,2,11,3,,,3,9,3,2,14
PRINCETON WEST,6,,,6,3,,,3,9,0,0,9
PROVIDENCE,5,,,5,1,,,1,6,0,0,6
QUALITY,1,,,1,,,,,1,0,0,1
QUICKSAND,4,,,4,1,,,1,5,0,0,5
RAYWICK,8,1,1,10,,,,,8,1,1,10
READY,,1,,1,,2,,2,0,3,0,3
REDBUSH,3,,,3,,,,,3,0,0,3
REED,5,,,5,4,,,4,9,0,0,9
REEDYVILLE,48,1,3,52,8,,1,9,56,1,4,61
REPTON,5,1,1,7,1,,,1,6,1,1,8
RHODA,56,9,9,74,19,,,19,75,9,9,93
RICHARDSON,5,,7,12,,,,,5,0,7,12
RICHMOND NORTH,3,,,3,,,1,1,3,0,1,4
RICHMOND SOUTH,5,,6,11,,,4,4,5,0,10,15
RISING SUN,15,,5,20,1,,2,3,16,0,7,23
RIVERSIDE,17,,,17,1,,,1,18,0,0,18
ROARING SPRING,13,1,16,30,,,,,13,1,16,30
ROCHESTER,20,1,,21,10,,,10,30,1,0,31
ROCK HAVEN,19,2,2,23,12,,,12,31,2,2,35
ROCKFIELD,4,2,13,19,4,,1,5,8,2,14,24
ROCKHOLDS,3,,1,4,1,,,1,4,0,1,5
ROCKPORT,3,,,3,,,,,3,0,0,3
ROME,,,,,1,,,1,1,0,0,1
ROSE HILL,3,,3,6,,,5,5,3,0,8,11
ROSEWOOD,1,,2,3,1,,,1,2,0,2,4
ROSICLARE,5,,1,6,1,,1,2,6,0,2,8
ROXANA,28,7,13,48,2,,2,4,30,7,15,52
RUSH,1,,,1,,,,,1,0,0,1
RUSHING BAY,12,,17,29,7,,1,8,19,0,18,37
RUSSELL SPRINGS,,1,3,4,,,,,0,1,3,4
RUSSELLVILLE KY,3,1,13,17,,,1,1,3,1,14,18
SACRAMENTO,4,1,1,6,,,1,1,4,1,2,7
SADIEVILLE,3,,,3,3,,,3,6,0,0,6
SAINT CATHARINE,3,,,3,,,,,3,0,0,3
SAINT CHARLES,2,1,,3,,,,,2,1,0,3
SALEM,2,3,6,11,,,,,2,3,6,11
SALINE MINES,2,,,2,,,,,2,0,0,2
SALOMA,2,,,2,,,,,2,0,0,2
SALT LICK,27,2,18,47,5,1,1,7,32,3,19,54
SALVISA,5,,7,12,9,,,9,14,0,7,21
SALYERSVILLE NORTH,1,,,1,,,,,1,0,0,1
SALYERSVILLE SOUTH,2,,,2,,,,,2,0,0,2
SAMUELS,4,7,62,73,2,,13,15,6,7,75,88
SANDERS,4,,1,5,2,,,2,6,0,1,7
SANDGAP,10,2,5,17,1,,,1,11,2,5,18
SANDY HOOK,2,1,1,4,,,,,2,1,1,4
SAVAGE,6,1,,7,,,,,6,1,0,7
SAWYER,23,2,49,74,5,,3,8,28,2,52,82
SAXTON,22,,2,24,1,,,1,23,0,2,25
SCALF,14,,,14,2,,,2,16,0,0,16
SCIENCE HILL,4,,,4,2,,,2,6,0,0,6
SCOTTSVILLE,2,,,2,2,,1,3,4,0,1,5
SCRANTON,17,1,6,24,,,,,17,1,6,24
SEBREE,3,1,,4,,,,,3,1,0,4
SHADY GROVE,4,1,3,8,,,1,1,4,1,4,9
SHADY NOOK,4,,2,6,,,,,4,0,2,6
SHARON GROVE,1,1,2,4,2,,,2,3,1,2,6
SHARP PLACE,2,,6,8,,,1,1,2,0,7,9
SHARPSBURG,2,,,2,,,,,2,0,0,2
SHAWHAN,10,1,1,12,2,,3,5,12,1,4,17
SHAWNEETOWN,3,,1,4,1,,,1,4,0,1,5
SHELBYVILLE,3,,,3,,,,,3,0,0,3
SHEPHERDSVILLE,4,2,24,30,1,,3,4,5,2,27,34
SHERBURNE,15,,,15,,,,,15,0,0,15
SHETLERVILLE,1,,,1,1,,2,3,2,0,2,4
SHOPVILLE,44,,12,56,26,,,26,70,0,12,82
SIMPSONVILLE,2,,1,3,1,,,1,3,0,1,4
SITKA,2,,1,3,,1,,1,2,1,1,4
SLADE,62,3,45,110,7,,5,12,69,3,50,122
SMITH MILLS,34,8,10,52,2,,,2,36,8,10,54
SMITHFIELD,1,,,1,,,,,1,0,0,1
SMITHLAND,29,,2,31,3,,1,4,32,0,3,35
SMITHS GROVE,5,,,5,2,,,2,7,0,0,7
SOMERSET,7,,4,11,13,,,13,20,0,4,24
SONORA,3,,4,7,6,,1,7,9,0,5,14
SOUTH HILL,,5,1,6,,,,,0,5,1,6
SOUTH UNION,9,,,9,2,,1,3,11,0,1,12
SPOTTSVILLE,3,,,3,,,,,3,0,0,3
SPRING LICK,,1,,1,,,,,0,1,0,1
SPURLINGTON,4,,,4,2,,,2,6,0,0,6
STAMPING GROUND,4,,1,5,1,,,1,5,0,1,6
STANFORD,1,,,1,,,,,1,0,0,1
STANTON,23,,6,29,2,,,2,25,0,6,31
STRICKLETT,2,,1,3,,,,,2,0,1,3
STURGEON,11,,3,14,,,,,11,0,3,14
STURGIS,1,,,1,,,,,1,0,0,1
SUGAR GROVE,2,,,2,,,,,2,0,0,2
SULPHUR LICK,3,,,3,,,,,3,0,0,3
SULPHUR WELL,6,2,2,10,2,,,2,8,2,2,12
SUMMER SHADE,2,,,2,,,,,2,0,0,2
SUMMERSVILLE,33,1,6,40,9,,,9,42,1,6,49
SUMMIT,12,10,25,47,10,,1,11,22,10,26,58
SUTHERLAND,4,,,4,,,,,4,0,0,4
SWITZER,6,1,23,30,5,,4,9,11,1,27,39
SYMSONIA,26,1,6,33,,,4,4,26,1,10,37
TALLEGA,3,,,3,,,,,3,0,0,3
TAYLORSVILLE,3,,,3,8,,,8,11,0,0,11
TELL CITY,6,,,6,4,,,4,10,0,0,10
TEMPLE HILL,2,,,2,2,,,2,4,0,0,4
THOMAS,12,,,12,,,,,12,0,0,12
TILFORD,1,2,,3,,,2,2,1,2,2,5
TIPTOP,3,,,3,,,,,3,0,0,3
TOLLESBORO,2,1,,3,,,,,2,1,0,3
TOMPKINSVILLE,5,,1,6,,,,,5,0,1,6
TONIEVILLE,5,,1,6,2,,,2,7,0,1,8
TRACY,1,,,1,2,,,2,3,0,0,3
TRENTON,4,,7,11,8,,,8,12,0,7,19
TYGARTS VALLEY,18,,2,20,6,,1,7,24,0,3,27
TYNER,1,1,,2,,,,,1,1,0,2
TYRONE,5,,8,13,1,,1,2,6,0,9,15
UNION,6,,6,12,2,,,2,8,0,6,14
UNION CITY,5,1,3,9,,,1,1,5,1,4,10
UNIONTOWN,9,,,9,1,,,1,10,0,0,10
UPTON,18,4,24,46,,,1,1,18,4,25,47
UTICA,3,,,3,,,,,3,0,0,3
VALLEY STATION,4,,1,5,1,,,1,5,0,1,6
VALLEY VIEW,2,,8,10,2,,,2,4,0,8,12
VANCEBURG,7,,1,8,1,,,1,8,0,1,9
VARILLA,36,,19,55,5,,2,7,41,0,21,62
VERNON,2,,,2,13,,,13,15,0,0,15
VERONA,1,,,1,,,,,1,0,0,1
VERSAILLES,3,1,5,9,3,,6,9,6,1,11,18
VEST,40,,1,41,2,,,2,42,0,1,43
VEVAY NORTH,,,,,1,,,1,1,0,0,1
VEVAY SOUTH,3,1,,4,7,,,7,10,1,0,11
VICCO,14,,,14,,,,,14,0,0,14
VINE GROVE,6,,,6,,,,,6,0,0,6
VOX,2,4,42,48,1,,3,4,3,4,45,52
WABASH ISLAND,7,,,7,2,,,2,9,0,0,9
WALLINS CREEK,8,13,5,26,2,,,2,10,13,5,28
WALTON,,1,,1,1,,,1,1,1,0,2
WATER VALLEY,19,,2,21,1,,1,2,20,0,3,23
WATERFORD,1,,,1,11,,1,12,12,0,1,13
WATERVIEW,3,,,3,21,,,21,24,0,0,24
WAVERLY,10,,,10,,,,,10,0,0,10
WAYLAND,1,,,1,1,,,1,2,0,0,2
WEBBVILLE,1,,,1,,,,,1,0,0,1
WESLEYVILLE,12,,2,14,5,,1,6,17,0,3,20
WEST FRANKLIN,1,,,1,4,,,4,5,0,0,5
WEST LIBERTY,2,,1,3,,,,,2,0,1,3
WESTPLAINS,10,,,10,3,,,3,13,0,0,13
WHEELERSBURG,3,,1,4,,,,,3,0,1,4
WHEELWRIGHT,2,,1,3,,,,,2,0,1,3
WHITESBURG,67,1,48,116,2,,6,8,69,1,54,124
WHITESVILLE,1,,,1,,,,,1,0,0,1
WHITLEY CITY,37,2,34,73,6,1,4,11,43,3,38,84
WIBORG,40,5,33,78,9,,4,13,49,5,37,91
WICKLIFFE,25,1,6,32,13,,3,16,38,1,9,48
WICKLIFFE SW,9,,,9,4,,1,5,13,0,1,14
WILDIE,3,,,3,1,,,1,4,0,0,4
WILLARD,4,,1,5,2,,,2,6,0,1,7
WILLIAMSBURG,20,,4,24,6,,,6,26,0,4,30
WILLIAMSON,2,,,2,,,,,2,0,0,2
WILLIAMSTOWN,1,,,1,,,,,1,0,0,1
WILMORE,7,1,39,47,6,,4,10,13,1,43,57
WILSON,13,2,3,18,5,,,5,18,2,3,23
WINCHESTER,2,,1,3,,,,,2,0,1,3
WINFIELD,7,1,14,22,,,3,3,7,1,17,25
WITHAMSVILLE,2,,1,3,,,,,2,0,1,3
WOFFORD,9,,1,10,6,,1,7,15,0,2,17
WOLF CREEK DAM,1,1,4,6,53,,1,54,54,1,5,60
WOLF ISLAND,28,2,6,36,8,,1,9,36,2,7,45
WOODBURN,13,,11,24,6,,4,10,19,0,15,34
WOODSTOCK,26,2,6,34,5,,,5,31,2,6,39
WORTHVILLE,7,,2,9,1,,1,2,8,0,3,11
WRIGLEY,9,,7,16,,,,,9,0,7,16
WYATT,3,,,3,4,,1,5,7,0,1,8
YANKEETOWN,4,,,4,,,,,4,0,0,4
YOSEMITE,2,,,2,3,,,3,5,0,0,5
ZACHARIAH,12,2,11,25,,,,,12,2,11,25
